Data da Venda,Produto,Preço,Quantidade Vendida,Valor Total da Venda,Método de Pagamento,Status da Venda
2024-07-07,Produto A,25.00,2,50,Paypal,Concluída
2024-07-12,Produto B,100.00,1,100,Crédito Loja,Concluída
2024-07-15,Produto C,50.00,3,150,Pix,Concluída
2024-07-18,Produto D,30.00,2,60,Dinheiro,Pendente
2024-07-22,Produto E,40.00,5,200,Cartão de Crédito,Concluída
2024-07-25,Produto F,30.00,1,30,Boleto,Concluída
2024-07-30,Produto G,30.00,3,90,Pix,Concluída
2024-08-02,Produto H,30.00,4,120,Crédito Loja,Pendente
2024-08-05,Produto I,20.00,2,40,Paypal,Concluída
2024-08-09,Produto J,25.00,3,75,Pix,Concluída
2024-08-11,Produto K,25.00,1,25,Dinheiro,Concluída
2024-08-14,Produto L,50.00,5,250,Cartão de Crédito,Concluída
2024-08-18,Produto M,25.00,2,50,Crédito Loja,Pendente
2024-08-21,Produto N,40.00,1,40,Boleto,Concluída
2024-08-24,Produto O,40.00,3,120,Paypal,Concluída
2024-08-28,Produto P,40.00,4,160,Pix,Pendente
2024-08-31,Produto Q,30.00,2,60,Crédito Loja,Concluída
2024-09-04,Produto R,25.00,5,125,Cartão de Crédito,Concluída
2024-09-08,Produto S,20.00,1,20,Dinheiro,Pendente
2024-09-11,Produto T,30.00,3,90,Pix,Concluída
2024-09-15,Produto U,20.00,2,40,Paypal,Concluída
2024-09-18,Produto V,35.00,1,35,Cartão de Crédito,Concluída
2024-09-22,Produto W,30.00,2,60,Pix,Pendente
2024-09-26,Produto X,40.00,5,200,Boleto,Concluída
2024-10-01,Produto Y,50.00,1,50,Crédito Loja,Pendente
2024-10-04,Produto Z,30.00,3,90,Dinheiro,Concluída
2024-10-07,Produto AA,35.00,2,70,Paypal,Concluída
2024-10-10,Produto AB,30.00,4,120,Pix,Concluída
2024-10-13,Produto AC,30.00,1,30,Crédito Loja,Pendente
2024-10-17,Produto AD,50.00,3,150,Cartão de Crédito,Concluída
2024-10-21,Produto AE,25.00,2,50,Pix,Concluída
2024-10-24,Produto AF,25.00,3,75,Paypal,Concluída
2024-10-27,Produto AG,25.00,4,100,Cartão de Crédito,Concluída
2024-10-30,Produto AH,20.00,2,40,Crédito Loja,Pendente
2024-11-02,Produto AI,25.00,5,125,Pix,Concluída
2024-11-06,Produto AJ,30.00,3,90,Paypal,Concluída
2024-11-10,Produto AK,30.00,1,30,Boleto,Concluída
2024-11-14,Produto AL,30.00,2,60,Pix,Pendente
2024-11-17,Produto AM,25.00,3,75,Dinheiro,Concluída
2024-11-20,Produto AN,30.00,4,120,Cartão de Crédito,Concluída
2024-11-23,Produto AO,25.00,2,50,Crédito Loja,Concluída
2024-11-27,Produto AP,40.00,5,200,Pix,Concluída
2024-11-30,Produto AQ,25.00,1,25,Paypal,Concluída
2024-12-04,Produto AR,30.00,3,90,Dinheiro,Pendente
2024-12-07,Produto AS,20.00,2,40,Pix,Concluída
2024-12-10,Produto AT,40.00,4,160,Cartão de Crédito,Concluída
2024-12-13,Produto AU,50.00,5,250,Crédito Loja,Concluída
2024-12-17,Produto AV,35.00,1,35,Paypal,Pendente
2024-12-20,Produto AW,30.00,3,90,Dinheiro,Concluída
2024-12-23,Produto AX,35.00,2,70,Pix,Pendente
2024-12-26,Produto AY,30.00,4,120,Cartão de Crédito,Concluída
2024-12-29,Produto AZ,20.00,1,20,Crédito Loja,Concluída
2024-12-31,Produto BA,25.00,2,50,Paypal,Concluída
2025-03-03,Produto BU,35.00,2,70,Cartão de Crédito,Concluída
2025-03-06,Produto BV,40.00,4,160,Boleto,Concluída
2025-03-09,Produto BW,25.00,3,75,Pix,Concluída
2025-03-12,Produto BX,30.00,1,30,Cartão de Crédito,Pendente
2025-03-15,Produto BY,30.00,5,150,Pix,Concluída
2025-03-18,Produto BZ,50.00,2,100,Boleto,Concluída
2025-03-21,Produto CA,25.00,2,50,Cartão de Crédito,Concluída
2025-03-24,Produto CB,40.00,3,120,Pix,Concluída
2025-03-27,Produto CC,30.00,4,120,Boleto,Concluída
2025-03-30,Produto CD,25.00,5,125,Cartão de Crédito,Concluída
2025-04-02,Produto CE,35.00,1,35,Boleto,Concluída
2025-04-05,Produto CF,30.00,2,60,Pix,Pendente
2025-04-08,Produto CG,20.00,4,80,Cartão de Crédito,Concluída
2025-04-11,Produto CH,25.00,3,75,Boleto,Concluída
2025-04-14,Produto CI,40.00,5,200,Pix,Concluída
2025-04-17,Produto CJ,30.00,1,30,Cartão de Crédito,Concluída
2025-04-20,Produto CK,50.00,2,100,Pix,Concluída
2025-04-23,Produto CL,35.00,3,105,Boleto,Concluída
2025-04-26,Produto CM,40.00,4,160,Cartão de Crédito,Concluída
2025-04-29,Produto CN,25.00,2,50,Boleto,Pendente
2025-05-02,Produto CO,30.00,3,90,Pix,Concluída
2025-05-05,Produto CP,35.00,1,35,Cartão de Crédito,Concluída
2025-05-08,Produto CQ,40.00,4,160,Boleto,Concluída
2025-05-11,Produto CR,30.00,5,150,Pix,Concluída
2025-05-14,Produto CS,25.00,2,50,Cartão de Crédito,Concluída
2025-05-17,Produto CT,40.00,3,120,Boleto,Concluída
2025-05-20,Produto CU,50.00,1,50,Pix,Concluída
2025-05-23,Produto CV,25.00,3,75,Cartão de Crédito,Concluída
2025-05-26,Produto CW,30.00,2,60,Boleto,Concluída
2025-05-29,Produto CX,35.00,4,140,Pix,Concluída
2025-06-01,Produto CY,25.00,3,75,Cartão de Crédito,Concluída
2025-06-04,Produto CZ,30.00,2,60,Pix,Concluída
2025-06-07,Produto DA,40.00,1,40,Boleto,Pendente
2025-06-10,Produto DB,30.00,5,150,Cartão de Crédito,Concluída
2025-06-13,Produto DC,35.00,3,105,Pix,Concluída
2025-06-16,Produto DD,25.00,4,100,Boleto,Concluída
2025-06-19,Produto DE,50.00,2,100,Cartão de Crédito,Concluída
